=== 2025-11-08 19:09:51 — workload=redis env=bare run=4/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2632.38          ---          ---       150.26357         6.81500        23.55100        96.76700       285.05 
Gets        26323.48       121.96     26201.52       148.95355         6.81500        23.55100        97.27900      1033.26 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      28955.86       121.96     26201.52       149.07264         6.81500        23.55100        97.27900      1318.31 


Request Latency Distribution
Type     <= msec         Percent
GET      17.279       98.516
GET      18.047       98.594
GET      18.943       98.672
GET      19.711       98.750
GET      20.479       98.828
GET      21.631       98.906
GET      23.167       98.984
GET      25.087       99.062
GET      27.391       99.141
GET      30.207       99.219
GET      31.743       99.258
GET      33.535       99.297
GET      35.071       99.336
GET      36.607       99.375
GET      38.399       99.414
GET      40.447       99.453
GET      42.751       99.492
GET      45.311       99.531
GET      47.871       99.570
GET      50.943       99.609
GET      52.479       99.629
GET      54.015       99.648
GET      55.807       99.668
GET      57.599       99.688
GET      59.391       99.707
GET      61.439       99.727
GET      63.999       99.746
GET      67.071       99.766
GET      69.631       99.785
GET      72.703       99.805
GET      74.239       99.814
GET      76.287       99.824
GET      78.335       99.834
GET      80.895       99.844
GET      82.943       99.854
GET      84.991       99.863
GET      87.039       99.873
GET      90.111       99.883
GET      93.695       99.893
GET      98.815       99.902
GET     100.863       99.907
GET     103.423       99.912
GET     105.983       99.917
GET     109.055       99.922
GET     112.127       99.927
GET     115.711       99.932
GET     120.831       99.937
GET     125.439       99.941
GET     132.095       99.946
GET     137.215       99.951
GET     141.311       99.954
GET     144.383       99.956
GET     147.455       99.958
GET     151.551       99.961
GET     156.671       99.963
GET     162.815       99.966
GET     178.175       99.968
GET     198.655       99.971
GET     229.375       99.973
GET     372.735       99.976
GET    603979.750       99.977
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
