=== 2025-11-08 19:09:51 — workload=redis env=bare run=4/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2632.38          ---          ---       150.26357         6.81500        23.55100        96.76700       285.05 
Gets        26323.48       121.96     26201.52       148.95355         6.81500        23.55100        97.27900      1033.26 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      28955.86       121.96     26201.52       149.07264         6.81500        23.55100        97.27900      1318.31 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.375        0.000
SET       4.511        5.000
SET       5.471       10.000
SET       6.207       15.000
SET       6.431       20.000
SET       6.527       25.000
SET       6.591       30.000
SET       6.655       35.000
SET       6.719       40.000
SET       6.751       45.000
SET       6.815       50.000
SET       6.847       52.500
SET       6.879       55.000
SET       6.911       57.500
SET       6.943       60.000
SET       6.975       62.500
SET       7.039       65.000
SET       7.103       67.500
SET       7.199       70.000
SET       7.455       72.500
SET       7.807       75.000
SET       7.935       76.250
SET       8.063       77.500
SET       8.255       78.750
SET       8.383       80.000
SET       8.447       81.250
SET       8.575       82.500
SET       8.703       83.750
SET       8.831       85.000
SET       8.959       86.250
SET       9.151       87.500
SET       9.215       88.125
SET       9.407       88.750
SET       9.599       89.375
SET       9.919       90.000
SET      10.047       90.625
SET      10.175       91.250
SET      10.239       91.875
SET      10.367       92.500
SET      10.431       93.125
SET      10.495       93.750
SET      10.559       94.062
SET      10.559       94.375
SET      10.623       94.688
SET      10.687       95.000
SET      10.751       95.312
SET      10.879       95.625
SET      11.007       95.938
SET      11.391       96.250
SET      11.839       96.562
SET      12.287       96.875
SET      12.415       97.031
SET      12.543       97.188
SET      12.671       97.344
SET      12.799       97.500
SET      12.927       97.656
SET      13.183       97.812
SET      13.567       97.969
SET      14.271       98.125
SET      15.231       98.281
SET      16.511       98.438
SET      17.279       98.516
SET      18.047       98.594
SET      18.943       98.672
SET      19.711       98.750
SET      20.479       98.828
SET      21.631       98.906
SET      23.167       98.984
SET      25.087       99.062
SET      27.391       99.141
SET      30.207       99.219
SET      31.743       99.258
SET      33.535       99.297
SET      35.071       99.336
SET      36.607       99.375
SET      38.399       99.414
SET      40.447       99.453
SET      42.751       99.492
SET      45.311       99.531
SET      47.871       99.570
SET      50.943       99.609
SET      52.479       99.629
SET      54.015       99.648
SET      55.551       99.668
SET      57.343       99.688
SET      59.391       99.707
SET      61.439       99.727
SET      63.999       99.746
SET      67.071       99.766
SET      69.631       99.785
SET      72.191       99.805
SET      74.239       99.814
SET      75.775       99.824
SET      78.335       99.834
SET      80.895       99.844
SET      82.943       99.854
SET      84.991       99.863
SET      87.039       99.873
SET      89.599       99.883
SET      93.183       99.893
SET      98.303       99.902
SET     100.863       99.907
SET     102.911       99.912
SET     105.471       99.917
SET     108.031       99.922
SET     111.103       99.927
SET     114.687       99.932
SET     119.807       99.937
SET     124.415       99.941
SET     130.559       99.946
SET     136.191       99.951
SET     140.287       99.954
SET     143.359       99.956
SET     147.455       99.958
SET     150.527       99.961
SET     154.623       99.963
SET     160.767       99.966
SET     175.103       99.968
SET     196.607       99.971
SET     229.375       99.973
SET     393.215       99.976
SET    603979.750       99.977
SET    603979.750      100.000
---
GET       0.311        0.000
GET       4.511        5.000
GET       5.471       10.000
GET       6.207       15.000
GET       6.431       20.000
GET       6.527       25.000
GET       6.591       30.000
GET       6.655       35.000
GET       6.719       40.000
GET       6.751       45.000
GET       6.815       50.000
GET       6.847       52.500
GET       6.879       55.000
GET       6.911       57.500
GET       6.943       60.000
GET       6.975       62.500
GET       7.039       65.000
GET       7.103       67.500
GET       7.199       70.000
GET       7.455       72.500
GET       7.807       75.000
GET       7.935       76.250
GET       8.063       77.500
GET       8.191       78.750
GET       8.319       80.000
GET       8.447       81.250
GET       8.575       82.500
GET       8.703       83.750
GET       8.831       85.000
GET       8.959       86.250
GET       9.151       87.500
GET       9.215       88.125
GET       9.407       88.750
GET       9.599       89.375
GET       9.919       90.000
GET      10.047       90.625
GET      10.175       91.250
GET      10.239       91.875
GET      10.367       92.500
GET      10.431       93.125
GET      10.495       93.750
GET      10.559       94.062
GET      10.559       94.375
GET      10.623       94.688
GET      10.687       95.000
GET      10.751       95.312
GET      10.879       95.625
GET      11.007       95.938
GET      11.391       96.250
GET      11.903       96.562
GET      12.287       96.875
GET      12.415       97.031
GET      12.543       97.188
GET      12.671       97.344
GET      12.799       97.500
GET      12.927       97.656
GET      13.183       97.812
GET      13.567       97.969
GET      14.271       98.125
GET      15.231       98.281
GET      16.511       98.438
