=== 2025-11-08 20:10:08 — workload=redis env=bare run=5/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2638.56          ---          ---       148.72168         6.78300        23.29500        93.18300       285.72 
Gets        26385.35       122.25     26263.10       148.29306         6.78300        23.29500        93.69500      1035.68 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      29023.91       122.25     26263.10       148.33203         6.78300        23.29500        93.69500      1321.41 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.375        0.000
SET       4.511        5.000
SET       5.471       10.000
SET       6.175       15.000
SET       6.367       20.000
SET       6.495       25.000
SET       6.559       30.000
SET       6.623       35.000
SET       6.655       40.000
SET       6.719       45.000
SET       6.783       50.000
SET       6.815       52.500
SET       6.847       55.000
SET       6.879       57.500
SET       6.911       60.000
SET       6.943       62.500
SET       7.007       65.000
SET       7.071       67.500
SET       7.199       70.000
SET       7.487       72.500
SET       7.807       75.000
SET       7.935       76.250
SET       8.095       77.500
SET       8.255       78.750
SET       8.319       80.000
SET       8.447       81.250
SET       8.575       82.500
SET       8.703       83.750
SET       8.831       85.000
SET       8.959       86.250
SET       9.151       87.500
SET       9.279       88.125
SET       9.535       88.750
SET       9.791       89.375
SET       9.983       90.000
SET      10.111       90.625
SET      10.175       91.250
SET      10.239       91.875
SET      10.303       92.500
SET      10.367       93.125
SET      10.495       93.750
SET      10.495       94.062
SET      10.559       94.375
SET      10.623       94.688
SET      10.687       95.000
SET      10.751       95.312
SET      10.879       95.625
SET      11.135       95.938
SET      11.519       96.250
SET      11.967       96.562
SET      12.287       96.875
SET      12.415       97.031
SET      12.543       97.188
SET      12.671       97.344
SET      12.799       97.500
SET      12.991       97.656
SET      13.247       97.812
SET      13.695       97.969
SET      14.399       98.125
SET      15.295       98.281
SET      16.511       98.438
SET      17.151       98.516
SET      17.919       98.594
SET      18.815       98.672
SET      19.583       98.750
SET      20.351       98.828
SET      21.503       98.906
SET      22.911       98.984
SET      24.831       99.062
SET      27.135       99.141
SET      29.951       99.219
SET      31.487       99.258
SET      33.279       99.297
SET      34.815       99.336
SET      36.607       99.375
SET      38.143       99.414
SET      40.191       99.453
SET      42.239       99.492
SET      44.799       99.531
SET      47.615       99.570
SET      50.431       99.609
SET      51.967       99.629
SET      53.247       99.648
SET      54.783       99.668
SET      56.575       99.688
SET      58.367       99.707
SET      60.671       99.727
SET      63.231       99.746
SET      66.047       99.766
SET      68.607       99.785
SET      71.679       99.805
SET      73.215       99.814
SET      74.751       99.824
SET      77.311       99.834
SET      79.359       99.844
SET      81.407       99.854
SET      83.455       99.863
SET      85.503       99.873
SET      87.551       99.883
SET      90.111       99.893
SET      94.207       99.902
SET      96.767       99.907
SET      99.327       99.912
SET     101.887       99.917
SET     104.959       99.922
SET     108.031       99.927
SET     111.103       99.932
SET     115.711       99.937
SET     119.807       99.941
SET     124.927       99.946
SET     130.559       99.951
SET     135.167       99.954
SET     138.239       99.956
SET     142.335       99.958
SET     147.455       99.961
SET     153.599       99.963
SET     158.719       99.966
SET     167.935       99.968
SET     193.535       99.971
SET     229.375       99.973
SET     290.815       99.976
SET    603979.750       99.977
SET    603979.750      100.000
---
GET       0.319        0.000
GET       4.511        5.000
GET       5.471       10.000
GET       6.175       15.000
GET       6.367       20.000
GET       6.495       25.000
GET       6.559       30.000
GET       6.623       35.000
GET       6.655       40.000
GET       6.719       45.000
GET       6.783       50.000
GET       6.815       52.500
GET       6.815       55.000
GET       6.847       57.500
GET       6.911       60.000
GET       6.943       62.500
GET       7.007       65.000
GET       7.071       67.500
GET       7.199       70.000
GET       7.487       72.500
GET       7.807       75.000
GET       7.935       76.250
GET       8.063       77.500
GET       8.191       78.750
GET       8.319       80.000
GET       8.447       81.250
GET       8.575       82.500
GET       8.703       83.750
GET       8.831       85.000
GET       8.959       86.250
GET       9.151       87.500
GET       9.279       88.125
GET       9.535       88.750
GET       9.791       89.375
GET       9.983       90.000
GET      10.111       90.625
GET      10.175       91.250
GET      10.239       91.875
GET      10.303       92.500
GET      10.367       93.125
GET      10.495       93.750
GET      10.495       94.062
GET      10.559       94.375
GET      10.623       94.688
GET      10.687       95.000
GET      10.751       95.312
GET      10.879       95.625
GET      11.135       95.938
GET      11.519       96.250
GET      11.967       96.562
GET      12.287       96.875
GET      12.415       97.031
GET      12.543       97.188
GET      12.671       97.344
GET      12.799       97.500
GET      12.991       97.656
GET      13.247       97.812
GET      13.695       97.969
GET      14.399       98.125
GET      15.295       98.281
GET      16.511       98.438
