=== 2025-11-08 22:11:16 — workload=redis env=bare run=7/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2621.92          ---          ---       148.61523         6.78300        23.29500        92.15900       283.92 
Gets        26218.86       121.48     26097.39       149.80933         6.78300        23.42300        92.15900      1029.15 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      28840.78       121.48     26097.39       149.70078         6.78300        23.42300        92.15900      1313.07 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.375        0.000
SET       4.607        5.000
SET       5.631       10.000
SET       6.239       15.000
SET       6.431       20.000
SET       6.527       25.000
SET       6.591       30.000
SET       6.623       35.000
SET       6.687       40.000
SET       6.751       45.000
SET       6.783       50.000
SET       6.815       52.500
SET       6.847       55.000
SET       6.879       57.500
SET       6.911       60.000
SET       6.943       62.500
SET       7.007       65.000
SET       7.071       67.500
SET       7.199       70.000
SET       7.455       72.500
SET       7.839       75.000
SET       7.967       76.250
SET       8.095       77.500
SET       8.255       78.750
SET       8.383       80.000
SET       8.511       81.250
SET       8.639       82.500
SET       8.767       83.750
SET       8.895       85.000
SET       9.023       86.250
SET       9.151       87.500
SET       9.343       88.125
SET       9.535       88.750
SET       9.791       89.375
SET       9.983       90.000
SET      10.111       90.625
SET      10.175       91.250
SET      10.239       91.875
SET      10.303       92.500
SET      10.367       93.125
SET      10.431       93.750
SET      10.495       94.062
SET      10.559       94.375
SET      10.623       94.688
SET      10.623       95.000
SET      10.751       95.312
SET      10.879       95.625
SET      11.135       95.938
SET      11.583       96.250
SET      12.031       96.562
SET      12.351       96.875
SET      12.479       97.031
SET      12.607       97.188
SET      12.735       97.344
SET      12.863       97.500
SET      13.055       97.656
SET      13.311       97.812
SET      13.887       97.969
SET      14.655       98.125
SET      15.615       98.281
SET      16.767       98.438
SET      17.535       98.516
SET      18.175       98.594
SET      19.071       98.672
SET      19.711       98.750
SET      20.479       98.828
SET      21.503       98.906
SET      22.911       98.984
SET      24.703       99.062
SET      26.879       99.141
SET      29.567       99.219
SET      30.975       99.258
SET      32.767       99.297
SET      34.303       99.336
SET      36.095       99.375
SET      37.631       99.414
SET      39.423       99.453
SET      41.471       99.492
SET      43.775       99.531
SET      46.847       99.570
SET      49.919       99.609
SET      51.455       99.629
SET      52.735       99.648
SET      54.271       99.668
SET      56.063       99.688
SET      57.855       99.707
SET      59.903       99.727
SET      62.207       99.746
SET      64.767       99.766
SET      67.583       99.785
SET      70.655       99.805
SET      72.191       99.814
SET      73.727       99.824
SET      75.775       99.834
SET      77.311       99.844
SET      79.871       99.854
SET      81.919       99.863
SET      83.967       99.873
SET      86.015       99.883
SET      88.575       99.893
SET      92.671       99.902
SET      95.231       99.907
SET      98.303       99.912
SET     100.351       99.917
SET     102.911       99.922
SET     105.471       99.927
SET     108.543       99.932
SET     112.127       99.937
SET     115.711       99.941
SET     119.807       99.946
SET     124.927       99.951
SET     129.023       99.954
SET     135.167       99.956
SET     140.287       99.958
SET     146.431       99.961
SET     151.551       99.963
SET     158.719       99.966
SET     174.079       99.968
SET     193.535       99.971
SET     236.543       99.973
SET     335.871       99.976
SET    603979.750       99.977
SET    603979.750      100.000
---
GET       0.335        0.000
GET       4.607        5.000
GET       5.631       10.000
GET       6.239       15.000
GET       6.399       20.000
GET       6.495       25.000
GET       6.591       30.000
GET       6.623       35.000
GET       6.687       40.000
GET       6.751       45.000
GET       6.783       50.000
GET       6.815       52.500
GET       6.847       55.000
GET       6.879       57.500
GET       6.911       60.000
GET       6.943       62.500
GET       7.007       65.000
GET       7.071       67.500
GET       7.167       70.000
GET       7.455       72.500
GET       7.807       75.000
GET       7.967       76.250
GET       8.095       77.500
GET       8.255       78.750
GET       8.383       80.000
GET       8.511       81.250
GET       8.639       82.500
GET       8.767       83.750
GET       8.895       85.000
GET       9.023       86.250
GET       9.151       87.500
GET       9.343       88.125
GET       9.535       88.750
GET       9.791       89.375
GET       9.983       90.000
GET      10.111       90.625
GET      10.175       91.250
GET      10.239       91.875
GET      10.303       92.500
GET      10.367       93.125
GET      10.431       93.750
GET      10.495       94.062
GET      10.559       94.375
GET      10.623       94.688
GET      10.623       95.000
GET      10.751       95.312
GET      10.879       95.625
GET      11.135       95.938
GET      11.583       96.250
GET      12.031       96.562
GET      12.351       96.875
GET      12.479       97.031
GET      12.607       97.188
GET      12.735       97.344
GET      12.863       97.500
GET      13.055       97.656
GET      13.375       97.812
GET      13.951       97.969
GET      14.719       98.125
GET      15.679       98.281
GET      16.895       98.438
