=== 2025-11-08 17:09:11 — workload=redis env=bare run=2/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2597.58          ---          ---       152.23656         6.81500        23.03900        97.27900       281.28 
Gets        25975.48       120.35     25855.13       150.51490         6.81500        23.03900        97.79100      1019.60 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      28573.05       120.35     25855.13       150.67142         6.81500        23.03900        97.79100      1300.88 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.327        0.000
SET       4.511        5.000
SET       5.471       10.000
SET       6.175       15.000
SET       6.399       20.000
SET       6.495       25.000
SET       6.559       30.000
SET       6.623       35.000
SET       6.687       40.000
SET       6.751       45.000
SET       6.815       50.000
SET       6.847       52.500
SET       6.879       55.000
SET       6.911       57.500
SET       6.975       60.000
SET       7.039       62.500
SET       7.135       65.000
SET       7.327       67.500
SET       7.647       70.000
SET       7.935       72.500
SET       8.191       75.000
SET       8.319       76.250
SET       8.447       77.500
SET       8.575       78.750
SET       8.703       80.000
SET       8.831       81.250
SET       8.959       82.500
SET       9.151       83.750
SET       9.407       85.000
SET       9.855       86.250
SET      10.111       87.500
SET      10.175       88.125
SET      10.239       88.750
SET      10.239       89.375
SET      10.303       90.000
SET      10.367       90.625
SET      10.431       91.250
SET      10.431       91.875
SET      10.495       92.500
SET      10.559       93.125
SET      10.623       93.750
SET      10.623       94.062
SET      10.687       94.375
SET      10.751       94.688
SET      10.815       95.000
SET      10.879       95.312
SET      11.071       95.625
SET      11.391       95.938
SET      11.839       96.250
SET      12.159       96.562
SET      12.415       96.875
SET      12.543       97.031
SET      12.607       97.188
SET      12.735       97.344
SET      12.863       97.500
SET      13.055       97.656
SET      13.247       97.812
SET      13.695       97.969
SET      14.399       98.125
SET      15.359       98.281
SET      16.639       98.438
SET      17.279       98.516
SET      18.047       98.594
SET      18.943       98.672
SET      19.711       98.750
SET      20.351       98.828
SET      21.247       98.906
SET      22.655       98.984
SET      24.447       99.062
SET      26.751       99.141
SET      29.439       99.219
SET      30.975       99.258
SET      32.639       99.297
SET      34.303       99.336
SET      36.095       99.375
SET      37.887       99.414
SET      39.679       99.453
SET      41.983       99.492
SET      44.287       99.531
SET      47.359       99.570
SET      50.431       99.609
SET      51.967       99.629
SET      53.759       99.648
SET      55.295       99.668
SET      57.087       99.688
SET      59.391       99.707
SET      61.695       99.727
SET      64.511       99.746
SET      67.583       99.766
SET      70.655       99.785
SET      73.215       99.805
SET      75.263       99.814
SET      77.823       99.824
SET      79.871       99.834
SET      81.919       99.844
SET      83.967       99.854
SET      86.015       99.863
SET      88.575       99.873
SET      91.647       99.883
SET      94.719       99.893
SET      98.303       99.902
SET     100.351       99.907
