=== 2025-11-08 21:10:20 — workload=redis env=bare run=6/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2594.99          ---          ---       151.02361         6.81500        23.55100        90.11100       281.00 
Gets        25949.65       120.23     25829.42       151.22085         6.81500        23.67900        90.11100      1018.58 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      28544.64       120.23     25829.42       151.20292         6.81500        23.67900        90.11100      1299.59 


Request Latency Distribution
Type     <= msec         Percent
GET     100.863       99.922
GET     103.935       99.927
GET     106.495       99.932
GET     110.079       99.937
GET     114.687       99.941
GET     120.319       99.946
GET     125.439       99.951
GET     128.511       99.954
GET     132.095       99.956
GET     136.191       99.958
GET     139.263       99.961
GET     145.407       99.963
GET     151.551       99.966
GET     160.767       99.968
GET     176.127       99.971
GET     216.063       99.973
GET     387.071       99.976
GET    603979.750       99.977
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
