=== 2025-11-15 22:03:43 — workload=redis env=bare run=7/7 ===
$ memtier_benchmark -s 192.168.1.60 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1746.16          ---          ---       219.94445        10.81500        21.37500        63.99900       189.09 
Gets        17461.38        80.90     17380.47       223.04169        10.81500        21.37500        64.25500       685.40 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      19207.53        80.90     17380.47       222.76012        10.81500        21.37500        64.25500       874.48 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.607        0.000
SET       9.279        5.000
SET       9.983       10.000
SET      10.303       15.000
SET      10.431       20.000
SET      10.559       25.000
SET      10.623       30.000
SET      10.687       35.000
SET      10.751       40.000
SET      10.815       45.000
SET      10.815       50.000
SET      10.879       52.500
SET      10.879       55.000
SET      10.879       57.500
SET      10.943       60.000
SET      10.943       62.500
SET      11.007       65.000
SET      11.007       67.500
SET      11.071       70.000
SET      11.071       72.500
SET      11.135       75.000
SET      11.199       76.250
SET      11.199       77.500
SET      11.263       78.750
SET      11.327       80.000
SET      11.519       81.250
SET      11.839       82.500
SET      12.159       83.750
SET      12.415       85.000
SET      12.735       86.250
SET      13.247       87.500
SET      13.503       88.125
SET      13.695       88.750
SET      13.823       89.375
SET      13.887       90.000
SET      14.015       90.625
SET      14.079       91.250
SET      14.143       91.875
SET      14.271       92.500
SET      14.335       93.125
SET      14.399       93.750
SET      14.463       94.062
SET      14.527       94.375
SET      14.591       94.688
SET      14.591       95.000
SET      14.655       95.312
SET      14.719       95.625
SET      14.847       95.938
SET      14.911       96.250
SET      15.039       96.562
SET      15.359       96.875
SET      15.615       97.031
SET      15.999       97.188
SET      16.319       97.344
SET      16.767       97.500
SET      17.151       97.656
SET      17.663       97.812
SET      18.175       97.969
SET      19.071       98.125
SET      19.967       98.281
SET      20.479       98.438
SET      20.607       98.516
SET      20.735       98.594
SET      20.863       98.672
SET      20.991       98.750
SET      21.119       98.828
SET      21.247       98.906
SET      21.375       98.984
SET      21.631       99.062
SET      21.887       99.141
SET      22.911       99.219
SET      23.551       99.258
SET      24.191       99.297
SET      24.703       99.336
SET      25.599       99.375
SET      26.495       99.414
SET      27.519       99.453
SET      28.671       99.492
SET      30.463       99.531
SET      32.383       99.570
SET      34.559       99.609
SET      35.583       99.629
SET      36.607       99.648
SET      37.887       99.668
SET      39.167       99.688
SET      40.703       99.707
SET      42.239       99.727
SET      43.775       99.746
SET      45.311       99.766
SET      47.359       99.785
SET      49.407       99.805
SET      50.431       99.814
SET      51.711       99.824
SET      52.991       99.834
SET      54.015       99.844
SET      55.295       99.854
SET      56.831       99.863
SET      58.367       99.873
SET      60.159       99.883
SET      62.463       99.893
SET      64.767       99.902
SET      66.047       99.907
SET      67.583       99.912
SET      68.607       99.917
SET      70.143       99.922
SET      71.679       99.927
SET      73.215       99.932
SET      76.287       99.937
SET      78.335       99.941
SET      81.407       99.946
SET      84.479       99.951
SET      86.015       99.954
SET      87.551       99.956
SET      89.599       99.958
SET      91.647       99.961
SET      95.231       99.963
SET    603979.750       99.966
SET    603979.750      100.000
---
GET       0.463        0.000
GET       9.279        5.000
GET       9.983       10.000
GET      10.303       15.000
GET      10.431       20.000
GET      10.559       25.000
GET      10.623       30.000
GET      10.687       35.000
GET      10.751       40.000
GET      10.751       45.000
GET      10.815       50.000
GET      10.879       52.500
GET      10.879       55.000
GET      10.879       57.500
GET      10.943       60.000
GET      10.943       62.500
GET      11.007       65.000
GET      11.007       67.500
GET      11.071       70.000
GET      11.071       72.500
GET      11.135       75.000
GET      11.199       76.250
GET      11.199       77.500
GET      11.263       78.750
GET      11.327       80.000
GET      11.519       81.250
GET      11.839       82.500
GET      12.159       83.750
GET      12.415       85.000
GET      12.735       86.250
GET      13.183       87.500
GET      13.503       88.125
GET      13.695       88.750
GET      13.823       89.375
GET      13.887       90.000
GET      14.015       90.625
GET      14.079       91.250
GET      14.143       91.875
GET      14.207       92.500
GET      14.335       93.125
GET      14.399       93.750
GET      14.463       94.062
GET      14.527       94.375
GET      14.591       94.688
GET      14.591       95.000
GET      14.655       95.312
GET      14.719       95.625
GET      14.847       95.938
GET      14.911       96.250
GET      15.039       96.562
GET      15.295       96.875
GET      15.615       97.031
GET      15.935       97.188
GET      16.319       97.344
GET      16.767       97.500
GET      17.151       97.656
GET      17.663       97.812
GET      18.175       97.969
GET      19.071       98.125
GET      19.967       98.281
GET      20.479       98.438
GET      20.607       98.516
GET      20.735       98.594
GET      20.863       98.672
GET      20.991       98.750
GET      21.119       98.828
GET      21.247       98.906
GET      21.375       98.984
GET      21.503       99.062
GET      21.887       99.141
GET      22.911       99.219
GET      23.551       99.258
GET      24.191       99.297
GET      24.831       99.336
GET      25.599       99.375
GET      26.623       99.414
GET      27.519       99.453
GET      28.799       99.492
GET      30.591       99.531
GET      32.511       99.570
GET      34.559       99.609
GET      35.583       99.629
GET      36.607       99.648
GET      37.887       99.668
GET      39.423       99.688
GET      40.703       99.707
GET      42.239       99.727
GET      43.775       99.746
GET      45.567       99.766
GET      47.359       99.785
GET      49.407       99.805
GET      50.687       99.814
GET      51.711       99.824
GET      52.991       99.834
GET      54.271       99.844
GET      55.551       99.854
GET      56.831       99.863
GET      58.623       99.873
GET      60.415       99.883
GET      62.719       99.893
GET      65.023       99.902
GET      66.559       99.907
GET      67.583       99.912
GET      69.119       99.917
GET      70.655       99.922
GET      71.679       99.927
GET      73.727       99.932
GET      75.775       99.937
GET      78.335       99.941
GET      81.919       99.946
GET      84.479       99.951
GET      86.015       99.954
GET      87.551       99.956
GET      89.599       99.958
GET      92.159       99.961
GET      96.767       99.963
GET    603979.750       99.966
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
