=== 2025-11-16 07:27:07 — workload=redis env=docker run=5/7 ===
$ memtier_benchmark -s 192.168.1.60 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1390.50          ---          ---       269.46469        13.31100        26.11100        63.74300       150.57 
Gets        13904.88        64.42     13840.45       270.42198        13.31100        26.11100        63.74300       545.80 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      15295.38        64.42     13840.45       270.33496        13.31100        26.11100        63.74300       696.37 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.607        0.000
SET      11.647        5.000
SET      12.351       10.000
SET      12.671       15.000
SET      12.863       20.000
SET      12.927       25.000
SET      13.055       30.000
SET      13.119       35.000
SET      13.183       40.000
SET      13.247       45.000
SET      13.311       50.000
SET      13.311       52.500
SET      13.375       55.000
SET      13.375       57.500
SET      13.439       60.000
SET      13.503       62.500
SET      13.503       65.000
SET      13.567       67.500
SET      13.631       70.000
SET      13.695       72.500
SET      13.759       75.000
SET      13.759       76.250
SET      13.823       77.500
SET      13.887       78.750
SET      13.951       80.000
SET      14.143       81.250
SET      14.463       82.500
SET      15.039       83.750
SET      15.551       85.000
SET      15.871       86.250
SET      16.191       87.500
SET      16.319       88.125
SET      16.511       88.750
SET      16.639       89.375
SET      16.767       90.000
SET      16.767       90.625
SET      16.895       91.250
SET      17.023       91.875
SET      17.151       92.500
SET      17.151       93.125
SET      17.279       93.750
SET      17.279       94.062
SET      17.407       94.375
SET      17.407       94.688
SET      17.535       95.000
SET      17.535       95.312
SET      17.535       95.625
SET      17.663       95.938
SET      17.791       96.250
SET      17.919       96.562
SET      18.047       96.875
SET      18.175       97.031
SET      18.431       97.188
SET      18.815       97.344
SET      19.327       97.500
SET      19.839       97.656
SET      20.223       97.812
SET      20.735       97.969
SET      21.375       98.125
SET      22.527       98.281
SET      23.807       98.438
SET      24.319       98.516
SET      24.831       98.594
SET      25.215       98.672
SET      25.471       98.750
SET      25.727       98.828
SET      25.855       98.906
SET      26.111       98.984
SET      26.239       99.062
SET      26.495       99.141
SET      27.007       99.219
SET      27.263       99.258
SET      27.903       99.297
SET      28.799       99.336
SET      29.567       99.375
SET      30.591       99.414
SET      31.487       99.453
SET      32.511       99.492
SET      33.535       99.531
SET      34.559       99.570
SET      36.095       99.609
SET      37.119       99.629
SET      38.143       99.648
SET      39.423       99.668
SET      40.447       99.688
SET      41.727       99.707
SET      43.263       99.727
SET      44.799       99.746
SET      46.335       99.766
SET      47.871       99.785
SET      49.919       99.805
SET      50.687       99.814
SET      51.711       99.824
SET      52.735       99.834
SET      53.759       99.844
SET      55.039       99.854
SET      56.319       99.863
SET      57.855       99.873
SET      59.647       99.883
SET      61.695       99.893
SET      64.511       99.902
SET      66.047       99.907
SET      67.583       99.912
SET      69.119       99.917
SET      71.167       99.922
SET      73.215       99.927
SET      75.775       99.932
SET      78.847       99.937
SET      81.919       99.941
SET      85.503       99.946
SET      89.599       99.951
SET      92.671       99.954
SET      98.303       99.956
SET    603979.750       99.958
SET    603979.750      100.000
---
GET       0.583        0.000
GET      11.647        5.000
GET      12.351       10.000
GET      12.671       15.000
GET      12.863       20.000
GET      12.927       25.000
GET      13.055       30.000
GET      13.119       35.000
GET      13.183       40.000
GET      13.247       45.000
GET      13.311       50.000
GET      13.311       52.500
GET      13.375       55.000
GET      13.375       57.500
GET      13.439       60.000
GET      13.503       62.500
GET      13.503       65.000
GET      13.567       67.500
GET      13.631       70.000
GET      13.695       72.500
GET      13.759       75.000
GET      13.759       76.250
GET      13.823       77.500
GET      13.887       78.750
GET      13.951       80.000
GET      14.143       81.250
GET      14.463       82.500
GET      15.039       83.750
GET      15.551       85.000
GET      15.871       86.250
GET      16.127       87.500
GET      16.255       88.125
GET      16.383       88.750
GET      16.639       89.375
GET      16.639       90.000
GET      16.767       90.625
GET      16.895       91.250
GET      17.023       91.875
GET      17.151       92.500
GET      17.151       93.125
GET      17.279       93.750
GET      17.279       94.062
GET      17.407       94.375
GET      17.407       94.688
GET      17.407       95.000
GET      17.535       95.312
GET      17.535       95.625
GET      17.663       95.938
GET      17.791       96.250
GET      17.919       96.562
GET      18.047       96.875
GET      18.175       97.031
GET      18.431       97.188
GET      18.815       97.344
GET      19.327       97.500
GET      19.711       97.656
GET      20.223       97.812
GET      20.735       97.969
GET      21.375       98.125
GET      22.399       98.281
GET      23.679       98.438
GET      24.319       98.516
GET      24.831       98.594
GET      25.215       98.672
GET      25.471       98.750
GET      25.727       98.828
GET      25.855       98.906
GET      26.111       98.984
GET      26.239       99.062
GET      26.495       99.141
GET      27.007       99.219
GET      27.263       99.258
GET      27.903       99.297
GET      28.671       99.336
GET      29.567       99.375
GET      30.463       99.414
GET      31.359       99.453
GET      32.383       99.492
GET      33.535       99.531
GET      34.559       99.570
GET      36.095       99.609
GET      37.119       99.629
GET      38.143       99.648
GET      39.167       99.668
GET      40.447       99.688
GET      41.727       99.707
GET      43.007       99.727
GET      44.543       99.746
GET      46.079       99.766
GET      47.871       99.785
GET      49.663       99.805
GET      50.687       99.814
GET      51.455       99.824
GET      52.479       99.834
GET      53.759       99.844
GET      55.039       99.854
GET      56.319       99.863
GET      57.855       99.873
GET      59.647       99.883
GET      61.695       99.893
GET      64.255       99.902
GET      66.047       99.907
GET      67.583       99.912
GET      69.119       99.917
GET      70.655       99.922
GET      72.703       99.927
GET      75.263       99.932
GET      78.335       99.937
GET      81.407       99.941
GET      84.991       99.946
GET      89.087       99.951
GET      92.159       99.954
GET      97.279       99.956
GET    603979.750       99.958
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
